Date,EUR/PLN,USD/PLN,CHF/PLN,EUR/USD,CHF/USD
2023-08-10,4.465,4.0521,4.6402,1.1019,1.1451
2023-08-11,4.4547,4.0501,4.6199,1.0999,1.1407
2023-08-14,4.4361,4.0525,4.6212,1.0947,1.1403
2023-08-16,4.4621,4.0832,4.6507,1.0928,1.139
2023-08-17,4.4681,4.1094,4.673,1.0873,1.1371
2023-08-18,4.4869,4.1285,4.6897,1.0868,1.1359
2023-08-21,4.4768,4.1124,4.6718,1.0886,1.136
2023-08-22,4.4648,4.0924,4.6632,1.091,1.1395
2023-08-23,4.4834,4.1438,4.7067,1.082,1.1358
2023-08-24,4.473,4.118,4.683,1.0862,1.1372
2023-08-25,4.4674,4.1419,4.6767,1.0786,1.1291
2023-08-28,4.4716,4.14,4.6821,1.0801,1.1309
2023-08-29,4.469,4.1341,4.6725,1.081,1.1302
2023-08-30,4.474,4.1167,4.6807,1.0868,1.137
2023-08-31,4.4684,4.1074,4.6636,1.0879,1.1354
2023-09-01,4.4762,4.1263,4.6742,1.0848,1.1328
2023-09-04,4.4653,4.1353,4.6767,1.0798,1.1309
2023-09-05,4.4764,4.1643,4.691,1.0749,1.1265
2023-09-06,4.4974,4.1895,4.7086,1.0735,1.1239
2023-09-07,4.594,4.289,4.8067,1.0711,1.1207
2023-09-08,4.6019,4.2958,4.8225,1.0713,1.1226
2023-09-11,4.6209,4.3077,4.8313,1.0727,1.1215
2023-09-12,4.6836,4.3711,4.9015,1.0715,1.1213
2023-09-13,4.6402,4.3225,4.8403,1.0735,1.1198
2023-09-14,4.6285,4.312,4.8261,1.0734,1.1192
2023-09-15,4.6307,4.3418,4.8481,1.0665,1.1166
2023-09-18,4.6377,4.3489,4.8519,1.0664,1.1157
2023-09-19,4.6458,4.3472,4.8505,1.0687,1.1158
2023-09-20,4.6529,4.3501,4.8483,1.0696,1.1145
2023-09-21,4.621,4.3365,4.7809,1.0656,1.1025
2023-09-22,4.6069,4.3269,4.7752,1.0647,1.1036
2023-09-25,4.5892,4.3188,4.747,1.0626,1.0991
2023-09-26,4.6077,4.3485,4.7657,1.0596,1.0959
2023-09-27,4.6065,4.3622,4.759,1.056,1.091
2023-09-28,4.634,4.4062,4.7973,1.0517,1.0888
2023-09-29,4.6356,4.3697,4.803,1.0609,1.0992
2023-10-02,4.6091,4.3634,4.7869,1.0563,1.0971
2023-10-03,4.6147,4.4012,4.7848,1.0485,1.0872
2023-10-04,4.6303,4.4155,4.8065,1.0486,1.0886
2023-10-05,4.5974,4.3768,4.7683,1.0504,1.0894
2023-10-06,4.5998,4.3608,4.7768,1.0548,1.0954
2023-10-09,4.5793,4.3439,4.7704,1.0542,1.0982
2023-10-10,4.5581,4.2985,4.7537,1.0604,1.1059
2023-10-11,4.5183,4.2589,4.7174,1.0609,1.1077
2023-10-12,4.5329,4.2659,4.7398,1.0626,1.1111
2023-10-13,4.5417,4.3033,4.747,1.0554,1.1031
2023-10-16,4.4804,4.2505,4.7085,1.0541,1.1078
2023-10-17,4.4389,4.2131,4.6676,1.0536,1.1079
2023-10-18,4.4488,4.2035,4.6753,1.0584,1.1122
2023-10-19,4.4529,4.2264,4.6989,1.0536,1.1118
2023-10-20,4.4675,4.2194,4.7328,1.0588,1.1217
2023-10-23,4.4552,4.2022,4.7083,1.0602,1.1204
2023-10-24,4.4604,4.1884,4.6974,1.0649,1.1215
2023-10-25,4.4758,4.2284,4.7236,1.0585,1.1171
2023-10-26,4.4708,4.2395,4.7123,1.0546,1.1115
2023-10-27,4.4642,4.2267,4.6935,1.0562,1.1104
2023-10-30,4.4491,4.204,4.6546,1.0583,1.1072
2023-10-31,4.4475,4.1684,4.6227,1.067,1.109
2023-11-02,4.4582,4.1963,4.6466,1.0624,1.1073
2023-11-03,4.4569,4.1857,4.6293,1.0648,1.106
2023-11-06,4.4615,4.1512,4.6322,1.0747,1.1159
2023-11-07,4.4513,4.1667,4.6283,1.0683,1.1108
2023-11-08,4.4584,4.1804,4.6343,1.0665,1.1086
2023-11-09,4.4413,4.1513,4.61,1.0699,1.1105
2023-11-10,4.4227,4.1423,4.5905,1.0677,1.1082
2023-11-13,4.4336,4.1474,4.5975,1.069,1.1085
2023-11-14,4.4163,4.121,4.572,1.0717,1.1094
2023-11-15,4.39,4.0453,4.5495,1.0852,1.1246
2023-11-16,4.3854,4.0415,4.5452,1.0851,1.1246
2023-11-17,4.3767,4.0327,4.5427,1.0853,1.1265
2023-11-20,4.368,3.9938,4.5248,1.0937,1.133
2023-11-21,4.3647,3.9882,4.5106,1.0944,1.131
2023-11-22,4.3804,4.018,4.5433,1.0902,1.1307
2023-11-23,4.3658,3.9969,4.5274,1.0923,1.1327
2023-11-24,4.3722,4.0103,4.5348,1.0902,1.1308
2023-11-27,4.3543,3.9769,4.512,1.0949,1.1346
2023-11-28,4.3542,3.975,4.5175,1.0954,1.1365
2023-11-29,4.3327,3.9478,4.5031,1.0975,1.1407
2023-11-30,4.3492,3.981,4.551,1.0925,1.1432
2023-12-01,4.3494,3.991,4.567,1.0898,1.1443
2023-12-04,4.3337,3.985,4.5678,1.0875,1.1462
2023-12-05,4.3233,3.991,4.5689,1.0833,1.1448
2023-12-06,4.3382,4.0202,4.5982,1.0791,1.1438
2023-12-07,4.3334,4.0199,4.6027,1.078,1.145
2023-12-08,4.3303,4.0181,4.5913,1.0777,1.1427
2023-12-11,4.3366,4.0277,4.5824,1.0767,1.1377
2023-12-12,4.3396,4.0204,4.581,1.0794,1.1394
2023-12-13,4.3309,4.0149,4.5827,1.0787,1.1414
2023-12-14,4.3053,3.9484,4.5328,1.0904,1.148
2023-12-15,4.3103,3.9326,4.5374,1.096,1.1538
